Codigo;Codigo de Barra;Descripcion;Rubro;Alicuota;Precio;Precio Oferta
212;7798024452044;REPASADOR X 3                                    ;CARNICERIA                             ;21;14900;0
213;7790927811140;REJILLA MED NJA REFORZ                           ;CARNICERIA                             ;21;1360;0
214;7790927811065;REJILLA MDIA NJA DOBLE                           ;CARNICERIA                             ;21;900;0
215;7790927814011;REJILLA MICRO FIBRA                              ;CARNICERIA                             ;21;22.7;0
216;7790927813243;FRANELA MD NJA 50 X50                            ;CARNICERIA                             ;21;2730.1;0
217;7793253038106;MORTIMER CUADRICULADA                            ;CARNICERIA                             ;21;1200;0
218;7793253038526;MORTIMER DOBLE CARA                              ;CARNICERIA                             ;21;2020;0
219;7793821980011;ESPONJA DORADA MORTIMER                          ;CARNICERIA                             ;21;1600;0
220;7790590000322;VELAS RANCHERA largas                            ;CARNICERIA                             ;21;1020;0
221;7792763000450;VELAS BLANCAS                                    ;CARNICERIA                             ;21;1990;0
222;7797390000811;POLVO LIMPIADOR SCHEZ                            ;CARNICERIA                             ;21;69;0
223;7794297010707;PALETA LIMPIAVIDRIOS                             ;CARNICERIA                             ;21;45.4;0
224;7798048720921;LENTEJA pte X 400 ELIO                           ;CARNICERIA                             ;21;1630;0
225;7798048720211;POROTOS X 400 MANTECA ELIO                       ;CARNICERIA                             ;21;3500;0
226;7798048720914;MAIZ BLANCO X 400 elio                           ;CARNICERIA                             ;21;1290;0
227;7798048720907;MAIZ PIZINGALLO elio                             ;CARNICERIA                             ;21;890;0
228;7798048720969;ARVEJAS PARTIDAS                                 ;CARNICERIA                             ;21;1140;0
229;7798102570486;PAPEL MANTECA rollo                              ;CARNICERIA                             ;21;1090;0
230;7791156433400;PAPEL ALUMINIO                                   ;CARNICERIA                             ;21;1990;0
231;7798102570356;PAPEL  FILM                                      ;CARNICERIA                             ;21;4220;0
232;7793360810404;MERM LA CAMPAG.TOMATE                            ;CARNICERIA                             ;21;3280;0
233;7793360806308;MERM LA CAMPAG ARANDANOS                         ;CARNICERIA                             ;21;3740;0
234;7793360802300;MERM LA CAMPAG dz.nj                             ;CARNICERIA                             ;21;3260;0
235;7793360805707;MERM LA CAMPAG FRAMBUESA                         ;CARNICERIA                             ;21;4600;0
236;7793360816604;MERM LA CAMPAG.BC ARANANDANOS                    ;CARNICERIA                             ;21;3890;0
237;7793360815003;MERM LA CAMPAG.BC  dz-cr-nj                      ;CARNICERIA                             ;21;3170;0
238;7790580509507;MERM ARCOR DURAZNO                               ;CARNICERIA                             ;21;2820;0
239;7790580509606;MERM ARCOR FRUTILLA                              ;CARNICERIA                             ;21;3120;0
240;7793360131509;JALEA  MEMBRILLO LA CAMP                         ;CARNICERIA                             ;21;3125;0
241;7790580511609;MERM ARCOR LIGHT  NJA                            ;CARNICERIA                             ;21;2750;0
242;7790580511708;MERM ARCOR LIGHT FRUT                            ;CARNICERIA                             ;21;3424;0
243;7793360129896;MERM LA CAMPAG seleccion                         ;CARNICERIA                             ;21;4900;0
244;7798132921180;MERM orieta fco                                  ;CARNICERIA                             ;21;549;0
